N°|Nº Expediente|Número de Decreto|Especialista|Contenido|RUC|Razon Social|Fecha de Creación|Hora de Creación|Fecha del Decreto|Fecha De Aprobacion|Hora De Aprobacion|Estado|Ver Decreto|
1970|11766-2023-TCE|535047|Edgard Enrique Cabezas Davila|Resolución|Entidad:20131377810Impugnate:20418896915|Entidad:SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION Impugnate:MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS|18/01/2024|18:39:38|18/01/2024|18/01/2024|18:40:34|APROBADO|535047 Ver...|
1971|11757-2023-TCE|535048|Edgard Enrique Cabezas Davila|Resolución|Entidad:20568019521Impugnate:20568286562|Entidad:UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA Impugnate:C.I.S. VIPROSER S.A.C.|18/01/2024|18:45:42|18/01/2024|18/01/2024|18:46:54|APROBADO|535048 Ver...|
1972|11781-2023-TCE|535049|Edgard Enrique Cabezas Davila|Resolución|Entidad:20489250731Impugnate:10200610852|Entidad:GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL Impugnate:ROJAS BRUNO ROSARIO MIRTHA|18/01/2024|18:51:36|18/01/2024|18/01/2024|18:52:47|APROBADO|535049 Ver...|
1973|11571-2023-TCE|535050|Edgard Enrique Cabezas Davila|Resolución|Entidad:20187346488Impugnate:20609243407|Entidad:MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR Impugnate:INDUSTRIAS ALIMENTARIAS DON NACHO E.I.R.L.|18/01/2024|18:58:06|18/01/2024|18/01/2024|19:00:43|APROBADO|535050 Ver...|
1974|02672-2020-TCE|535051|Edgard Enrique Cabezas Davila|Resolución|Entidad:20219772417POSTOR:10304103618|Entidad:MUNICIPALIDAD DISTRITAL DE MARIANO NICOLAS VALCARCEL POSTOR:ARENAS MONTOYA ELIAS ALBERTO|18/01/2024|19:06:05|18/01/2024|18/01/2024|19:07:42|APROBADO|535051 Ver...|
1975|04671-2022-TCE|535052|Edgard Enrique Cabezas Davila|Resolución|Entidad:20546537782POSTOR:10418662463|Entidad:PROGRAMA NACIONAL CUNA MAS POSTOR:ALEGRIA GARCIA VICTOR ANTONIO|18/01/2024|19:57:42|18/01/2024|18/01/2024|19:59:35|APROBADO|535052 Ver...|
1976|11414-2023-TCE|535053|Jessica Carmela Palpan Melendez|Tómese conocimiento|Entidad:20489250731Impugnate:20602842330|Entidad:GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL Impugnate:CONSULTORIA & CONSTRUCCION GRUPO PERGOLA S.A.C.|18/01/2024|20:12:05|18/01/2024|||PENDIENTE|535053 Ver...|
1977|04033-2019-TCE|535054|Edgard Enrique Cabezas Davila|Resolución|Entidad:20486021692POSTOR:20351575574,20486774445|Entidad:GOBIERNO REGIONAL DE JUNIN POSTOR:CONSTRUCTORA URANIO S.A.C,GOVIL S.A.C.|18/01/2024|21:47:25|18/01/2024|18/01/2024|21:48:31|APROBADO|535054 Ver...|
1978|12304-2023-TCE|535055|Edgard Enrique Cabezas Davila|Resolución|Entidad:20131257750Impugnate:20605447873|Entidad:SEGURO SOCIAL DE SALUD Impugnate:BIOMEDICA SUPPLY S.A.C.|18/01/2024|23:24:34|18/01/2024|18/01/2024|23:26:27|APROBADO|535055 Ver...|
1979|12264-2023-TCE|535056|Edgard Enrique Cabezas Davila|Resolución|Entidad:20131257750Impugnate:20255361695|Entidad:SEGURO SOCIAL DE SALUD Impugnate:LABORATORIOS AMERICANOS S.A.|18/01/2024|23:33:13|18/01/2024|18/01/2024|23:34:52|APROBADO|535056 Ver...|
1980|12317-2023-TCE|535057|Edgard Enrique Cabezas Davila|Resolución|Entidad:20131257750Impugnate:20605701435|Entidad:SEGURO SOCIAL DE SALUD Impugnate:LINAMES S.A.C.|18/01/2024|23:47:13|18/01/2024|18/01/2024|23:49:24|APROBADO|535057 Ver...|
1981|00424-2023-TCE|535058|Claudia del Pilar Castro Aponte|Sobrecártese|Entidad:20353982878POSTOR:20510233159|Entidad:INPE-DIRECCION REGIONAL NORTE CHICLAYO POSTOR:NICANDRO HITLER BARRETO MARIN EMPRESA INDIVIDUAL DE RESPONSABILIDAD NIHIBAMA EIRL|19/01/2024|07:50:40|19/01/2024|19/01/2024|08:00:16|APROBADO|535058 Ver...|
1981|00424-2023-TCE|535058|Claudia del Pilar Castro Aponte|Sobrecártese|Entidad:20353982878POSTOR:20510233159|Entidad:INPE-DIRECCION REGIONAL NORTE CHICLAYO POSTOR:NICANDRO HITLER BARRETO MARIN EMPRESA INDIVIDUAL DE RESPONSABILIDAD NIHIBAMA EIRL|19/01/2024|07:50:40|19/01/2024|19/01/2024|08:00:16|APROBADO|535058 Ver...|
1982|00454-2023-TCE|535059|Claudia del Pilar Castro Aponte|Sobrecártese|Entidad:20131368829POSTOR:20601625475|Entidad:MINISTERIO DE ENERGÍA Y MINAS POSTOR:TACOS FUERTES E.I.R.L.|19/01/2024|07:53:18|19/01/2024|19/01/2024|08:06:35|APROBADO|535059 Ver...|
1983|01026-2023-TCE|535060|Claudia del Pilar Castro Aponte|Remisión a sala - Apercibimiento|Entidad:20200712146POSTOR:10418820131|Entidad:MUNICIPALIDAD DISTRITAL DE ASILLO POSTOR:CUTISACA TURPO JUAN CARLOS|19/01/2024|08:22:49|19/01/2024|22/01/2024|13:24:41|APROBADO|535060 Ver...|
1984|01027-2023-TCE|535061|Claudia del Pilar Castro Aponte|Remisión a sala - Apercibimiento|Entidad:20200712146POSTOR:10418820131|Entidad:MUNICIPALIDAD DISTRITAL DE ASILLO POSTOR:CUTISACA TURPO JUAN CARLOS|19/01/2024|08:33:47|19/01/2024|22/01/2024|13:26:47|APROBADO|535061 Ver...|
1985|03410-2019-TCE|535062|Jocelyne Figueroa Chavez|Estése a lo dispuesto|Entidad:20518396332POSTOR:20503965179,20537185661|Entidad:PROGRAMA DE GOBIERNO REGIONAL DE LIMA METROPOLITANA POSTOR:INVERSIONES CONSTRUMARZ E.I.R.L.,CORONEL EJECUTORES E.I.R.L.|19/01/2024|09:06:04|19/01/2024|22/01/2024|10:09:04|APROBADO|535062 Ver...|
1986|11414-2023-TCE|535063|Jessica Carmela Palpan Melendez|Tómese conocimiento|Entidad:20489250731Impugnate:20602842330|Entidad:GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL Impugnate:CONSULTORIA & CONSTRUCCION GRUPO PERGOLA S.A.C.|19/01/2024|09:09:47|19/01/2024|22/01/2024|18:31:33|APROBADO|535063 Ver...|
1987|11100-2023-TCE|535064|Jessica Carmela Palpan Melendez|Estése a lo dispuesto|Entidad:20405186145Impugnate:10420993850|Entidad:GOBIERNO REGIONAL DE MOQUEGUA - TRANSPORTES Impugnate:CONSORCIO CHACALAQUE, conformado por la empresa MAVICOR S.R.L. y la señora YESICA JACKLIN YARASCA HUAMAN|19/01/2024|09:22:51|19/01/2024|22/01/2024|10:13:54|APROBADO|535064 Ver...|
1988|04746-2019-TCE|535065|Luz Carolina Santillan Collantes|Inicio del procedimiento sancionador|Entidad:20405479592POSTOR:20537027674|Entidad:EMPRESA DE SERVICIOS PUBLICOS DE ELECTRICIDAD PUNO S.A.A. POSTOR:YAKU TRAVEL S.A.C.|19/01/2024|09:28:18|19/01/2024|23/01/2024|08:57:44|APROBADO|535065 Ver...|
1989|11932-2023-TCE|535066|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20163795494Impugnate:0000000,20602316727|Entidad:MUNICIPALIDAD DISTRITAL DE VEGUETA Impugnate:CONSORCIO SAN LUIS, conformado por las empresas AGRIBUSINESS CHEST S.A.C. y GRUPO FASA S.A.C.,CONSORCIO AGUA, conformado por las empresas CONSTRUCCIONES KUSI SOCIEDAD ANONIMA CERRADA - CONSTRUCCIONES KUSI S.A.C. y|19/01/2024|09:33:38|19/01/2024|19/01/2024|10:17:45|APROBADO|535066 Ver...|
1990|10661-2023-TCE|535067|Isabel Alejandra Melgar Romani|Incumplimiento de requerimiento de Fiscalización Posterior|Entidad:20131257750Impugnate:20540726788|Entidad:SEGURO SOCIAL DE SALUD Impugnate:STEFANO & MASA S.A.C.|19/01/2024|09:35:09|19/01/2024|22/01/2024|10:06:42|APROBADO|535067 Ver...|
1991|11889-2023-TCE|535068|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20178677684Impugnate:20513943998|Entidad:GOBIERNO REGIONAL DE SAN MARTIN-TRANSPORTES Impugnate:CONSORCIO INGENIERIA VIAL UCAYALI, conformado por las empresas H Y C INGENIEROS CONSULTORES SOCIEDAD ANONIMA CERRADA - H|19/01/2024|09:35:51|19/01/2024|19/01/2024|10:18:04|APROBADO|535068 Ver...|
1992|08221-2022-TCE|535069|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20177689051POSTOR:10454414841|Entidad:UNIVERSIDAD NACIONAL DE TUMBES POSTOR:PUÑO ROJAS LUIS ALBERTO|19/01/2024|09:36:58|19/01/2024|19/01/2024|10:18:16|APROBADO|535069 Ver...|
1993|05228-2022-TCE|535070|Luz Carolina Santillan Collantes|Remisión a sala - Apercibimiento|Entidad:20100030595POSTOR:20604495700|Entidad:BANCO DE LA NACION POSTOR:DICALI PERU E.I.R.L.|19/01/2024|09:37:27|19/01/2024|23/01/2024|08:59:47|APROBADO|535070 Ver...|
1994|03904-2019-TCE|535071|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20131369124POSTOR:10464972949|Entidad:EJÉRCITO PERUANO - 1RA BRIGADA DE CABALLERÍA POSTOR:ORTIZ ZULOETA MAYRA FRANSHECA|19/01/2024|09:38:31|19/01/2024|19/01/2024|10:18:34|APROBADO|535071 Ver...|
1995|05476-2022-TCE|535072|Luz Carolina Santillan Collantes|Remisión a sala - Apercibimiento|Entidad:20503503639POSTOR:20600031652|Entidad:MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL) POSTOR:JG & D INGENIERIA Y CONSTRUCCION E.I.R.L.|19/01/2024|09:39:29|19/01/2024|23/01/2024|09:01:00|APROBADO|535072 Ver...|
1996|03512-2021-TCE|535073|Diego Rodolfo Salinas Lazo|Sobrecártese|Entidad:20479569861POSTOR:10339432860|Entidad:GOBIERNO REGIONAL DE AMAZONAS SEDE CENTRAL POSTOR:TRIGOSO OCAMPO JOSE JOB|19/01/2024|09:39:40|19/01/2024|19/01/2024|09:52:53|APROBADO|535073 Ver...|
1997|06026-2022-TCE|535074|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20100211034POSTOR:20101086322|Entidad:SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AREQUIPA POSTOR:SERVICIOS DE INGENIERIA S.A. S.I.S.A.|19/01/2024|09:39:51|19/01/2024|19/01/2024|10:19:04|APROBADO|535074 Ver...|
1998|06980-2022-TCE|535075|Luz Carolina Santillan Collantes|Remisión a sala - Apercibimiento|Entidad:20131369124POSTOR:20609176785|Entidad:EJERCITO PERUANO POSTOR:BIENES Y SERVICIOS KAEMY E.I.R.L.|19/01/2024|09:41:08|19/01/2024|23/01/2024|09:01:17|APROBADO|535075 Ver...|
1999|08449-2022-TCE|535076|Luz Carolina Santillan Collantes|Remisión a sala - Apercibimiento|Entidad:20489252601POSTOR:20543817512|Entidad:GOBIERNO REGIONAL DE HUÁNUCO - UNIDAD EJECUTORA 403 SALUD LEONCIO PRADO POSTOR:TRANSPORTES CAJITAS CARGO E.I.R.L.|19/01/2024|09:42:29|19/01/2024|23/01/2024|09:01:30|APROBADO|535076 Ver...|
2000|08451-2022-TCE|535077|Luz Carolina Santillan Collantes|Remisión a sala - Apercibimiento|Entidad:20489252601POSTOR:20543817512|Entidad:GOBIERNO REGIONAL DE HUÁNUCO - UNIDAD EJECUTORA 403 SALUD LEONCIO PRADO POSTOR:TRANSPORTES CAJITAS CARGO E.I.R.L.|19/01/2024|09:43:48|19/01/2024|23/01/2024|09:01:41|APROBADO|535077 Ver...|
2001|12221-2023-TCE|535078|Carla Pinedo Prentice|Audiencia pública|Entidad:20131369124Impugnate:20600224922|Entidad:EJERCITO PERUANO Impugnate:J & E INVERSIONES PACIFICO S.A.C.|19/01/2024|10:06:52|19/01/2024|19/01/2024|19:05:58|APROBADO|535078 Ver...|
2002|12207-2023-TCE|535079|Carla Pinedo Prentice|Audiencia pública|Entidad:20131023414Impugnate:20608165631|Entidad:MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO Impugnate:CONSORCIO CHT Y NEGLIAF, conformado por las empresas CHT GLOBAL GROUP S.A.C. y NEGOCIOS DE LIMPIEZA Y AFINES SOCIEDAD CO|19/01/2024|10:09:10|19/01/2024|19/01/2024|19:05:28|APROBADO|535079 Ver...|
2003|02831-2019-TCE|535080|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20484004421POSTOR:20537169207,20601169941|Entidad:GOBIERNO REGIONAL DE PIURA SEDE CENTRAL POSTOR:RIVA SOCIEDAD ANONIMA INMOBILIARIA INDUSTRIAL COMERCIAL FINANCIERA Y AGROPECUARIA SUCURSAL DEL PERU,HUAMANI INGENIEROS CONSTRUCTORES S.A.C|19/01/2024|10:12:41|19/01/2024|19/01/2024|10:24:14|APROBADO|535080 Ver...|
2004|11819-2023-TCE|535081|Carla Pinedo Prentice|Déjese a consideración de la Sala|Entidad:20223149635Impugnate:20501887286|Entidad:GOBIERNO REGIONAL DE LA LIBERTAD - HOSPITAL REGIONAL DOCENTE DE TRUJILLO Impugnate:DIAGNOSTICA PERUANA S.A.C.|19/01/2024|10:13:37|19/01/2024|19/01/2024|19:05:11|APROBADO|535081 Ver...|
2005|04095-2018-TCE|535082|Ania Melgar Salazar|Previamente|Entidad:20486982803POSTOR:10417748011|Entidad:GOBIERNO REGIONAL DE HUANCAVELICA - GERENCIA SUB REGIONAL ANGARAES POSTOR:QUISPE AYALA ALFREDO|19/01/2024|10:13:48|19/01/2024|||REVISION|535082 Ver...|
2006|11818-2023-TCE|535083|Carla Pinedo Prentice|Déjese a consideración de la Sala|Entidad:20162041291Impugnate:20501887286|Entidad:HOSPITAL DE APOYO DEPARTAMENTAL MARIA AUXILIADORA Impugnate:DIAGNOSTICA PERUANA S.A.C.|19/01/2024|10:16:49|19/01/2024|19/01/2024|19:04:55|APROBADO|535083 Ver...|
2007|11577-2023-TCE|535084|Carla Pinedo Prentice|Déjese a consideración de la Sala|Entidad:20170325185Impugnate:20601771480|Entidad:MUNICIPALIDAD PROVINCIAL DE CANAS - YANAOCA Impugnate:EQUIPOS Y SERVICIOS INDUSTRIALES DELTA S.A.C.|19/01/2024|10:21:04|19/01/2024|19/01/2024|19:04:32|APROBADO|535084 Ver...|
2008|12221-2023-TCE|535085|Carla Pinedo Prentice|Déjese a consideración de la Sala|Entidad:20131369124Impugnate:20600224922|Entidad:EJERCITO PERUANO Impugnate:J & E INVERSIONES PACIFICO S.A.C.|19/01/2024|10:31:57|19/01/2024|19/01/2024|19:04:08|APROBADO|535085 Ver...|
2009|00471-2023-TCE|535086|Karina Patricia Asencios Arenas|Sobrecártese|Entidad:20537630222POSTOR:20520519832|Entidad:MINISTERIO DE CULTURA POSTOR:GRUPO EDITORIAL PEISA SAC|19/01/2024|10:40:46|19/01/2024|19/01/2024|11:32:45|APROBADO|535086 Ver...|
2010|04814-2022-TCE|535087|Karina Patricia Asencios Arenas|Sobrecártese|Entidad:20154547259POSTOR:20603251165|Entidad:OFICINA DE GESTION DE SERVICIOS DE SALUD BAJO POSTOR:CONSULTORA Y CONSTRUCTORA CALMET S.A.C|19/01/2024|10:52:08|19/01/2024|19/01/2024|11:32:32|APROBADO|535087 Ver...|
2011|04067-2019-TCE|535088|Pamela Quispe Santos|Remisión a sala - Apercibimiento|Entidad:20522773451POSTOR:20121797314|Entidad: AUTORIDAD AUTÓNOMA DEL SISTEMA ELÉCTRICO DE TRANSPORTE MASIVO DE LIMA Y CALLAO -AATE (Ahora AUTORIDAD DE TRANSPORTE UR POSTOR:CONSEGESA S.A.|19/01/2024|11:12:18|19/01/2024|22/01/2024|15:56:26|APROBADO|535088 Ver...|
2011|04067-2019-TCE|535088|Pamela Quispe Santos|Remisión a sala - Apercibimiento|Entidad:20522773451POSTOR:20121797314|Entidad: AUTORIDAD AUTÓNOMA DEL SISTEMA ELÉCTRICO DE TRANSPORTE MASIVO DE LIMA Y CALLAO -AATE (Ahora AUTORIDAD DE TRANSPORTE UR POSTOR:CONSEGESA S.A.|19/01/2024|11:12:18|19/01/2024|22/01/2024|15:56:26|APROBADO|535088 Ver...|
2012|04788-2019-TCE|535089|Pamela Quispe Santos|Remisión a sala - Apercibimiento|Entidad:20260014987POSTOR:20521906732|Entidad:UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 04 - COMAS POSTOR:TECNISAN E.I.R.L.|19/01/2024|11:16:39|19/01/2024|22/01/2024|15:56:40|APROBADO|535089 Ver...|
2013|04924-2022-TCE|535090|Pamela Quispe Santos|Remisión a sala - Apercibimiento|Entidad:20163646499POSTOR:20604690685|Entidad:UNIVERSIDAD NACIONAL DE SAN AGUSTIN POSTOR:LUOXO S.A.C.|19/01/2024|11:20:26|19/01/2024|22/01/2024|15:56:54|APROBADO|535090 Ver...|
2014|05168-2022-TCE|535091|Pamela Quispe Santos|Remisión a sala - Descargos|Entidad:20414868216POSTOR:10085173338,10404313598|Entidad:PROGRAMA SUBSECTORIAL DE IRRIGACIONES - PSI POSTOR:IGNACIO EPIFANIO SHIGUAY SARMIENTO,ALEXANDER PRIMITIVO HUERTAS JARA|19/01/2024|11:29:01|19/01/2024|22/01/2024|15:57:07|APROBADO|535091 Ver...|
2015|01581-2019-TCE|535092|Marlene Violeta Vilca Alvarado|Remisión a sala - Apercibimiento|Entidad:20601765226POSTOR:20600721969|Entidad:PROGRAMA NACIONAL DE INVERSIONES EN SALUD ? PRONIS POSTOR:JPC SERVICIOS GENERALES EN ARQUITECTURA E INGENIERIA S.A.C.|19/01/2024|11:31:27|19/01/2024|19/01/2024|17:54:09|APROBADO|535092 Ver...|
2016|07222-2021-TCE|535093|Pamela Quispe Santos|Remisión a sala - Descargos|Entidad:20177653960POSTOR:20486379066|Entidad:MUNICIPALIDAD PROVINCIAL DE JUNIN POSTOR:GRUPO GRANDE S.A.C.|19/01/2024|11:38:34|19/01/2024|22/01/2024|15:57:22|APROBADO|535093 Ver...|
2017|00112-2020-TCE|535094|Marlene Violeta Vilca Alvarado|Remisión a sala - Apercibimiento|Entidad:20131370301POSTOR:10760257601|Entidad:MINISTERIO PUBLICO POSTOR:GUERRA BARBOZA ERICK BRANDON|19/01/2024|11:40:24|19/01/2024|19/01/2024|17:55:53|APROBADO|535094 Ver...|
2018|07227-2021-TCE|535095|Pamela Quispe Santos|Remisión a sala - Apercibimiento|Entidad:20494642078POSTOR:20601706181|Entidad:GOBIERNO REGIONAL DE AYACUCHO - PROGRAMA REGIONAL DE IRRIGACION Y DESARROLLO RURAL INTEGRADO POSTOR:CONSTRUCTORA CONSULTORA WG S.A.C.|19/01/2024|11:44:01|19/01/2024|22/01/2024|15:57:34|APROBADO|535095 Ver...|
2019|05293-2019-TCE|535096|Marlene Violeta Vilca Alvarado|Tómese conocimiento|Entidad:20133696823POSTOR:10411700777|Entidad:MUNICIPALIDAD PROVINCIAL DE HUANCAYO POSTOR:CUNYA MERCADO JORGE DAVID|19/01/2024|11:47:32|19/01/2024|19/01/2024|17:59:07|APROBADO|535096 Ver...|
2020|07414-2021-TCE|535097|Pamela Quispe Santos|Remisión a sala - Descargos|Entidad:20172383531POSTOR:20604299625|Entidad:UNIVERSIDAD NACIONAL HERMILIO VALDIZAN POSTOR:CORPORACION ACEL SOCIEDAD ANONIMA CERRADA|19/01/2024|11:48:25|19/01/2024|22/01/2024|15:57:46|APROBADO|535097 Ver...|
2021|00122-2021-TCE|535098|Debora Dafne Basurco Chavez|Remisión a sala - Apercibimiento|Entidad:20172619241POSTOR:20525241484|Entidad:MUNICIPALIDAD DISTRITAL DE HUAMARCA POSTOR:ASOCIACION DE GANADEROS DE TUNAS DISTRITO DE HUARMACA|19/01/2024|12:24:42|19/01/2024|22/01/2024|15:57:41|APROBADO|535098 Ver...|
2022|00414-2019-TCE|535099|Debora Dafne Basurco Chavez|Remisión a sala - Apercibimiento|Entidad:20159308961POSTOR:20489952174|Entidad:MUNICIPALIDAD DISTRITAL DE SAN SEBASTIAN POSTOR:FARPAC INGENIEROS SOCIEDAD ANONIMA CERRADA - FARPAC INGENIEROS S.A.C.|19/01/2024|12:27:21|19/01/2024|22/01/2024|16:08:00|APROBADO|535099 Ver...|
2023|01289-2022-TCE|535100|Debora Dafne Basurco Chavez|Remisión a sala - Descargos|Entidad:20159855938POSTOR:20543328406|Entidad:HOSPITAL NACIONAL VICTOR LARCO HERRERA POSTOR:ASISTENCIA AMBIENTAL SOCIEDAD ANONIMA CERRADA|19/01/2024|12:34:04|19/01/2024|22/01/2024|16:08:17|APROBADO|535100 Ver...|
2024|01448-2019-TCE|535101|Debora Dafne Basurco Chavez|Remisión a sala - Descargos|Entidad:20131257750POSTOR:20529793741,20569193177|Entidad:SEGURO SOCIAL DE SALUD POSTOR:SAN FRANCISCO INVERSIONES MEDICAS S.A.C.,CENTRO DEL RIÑON ALBERTO MAGNO S.A.C.|19/01/2024|12:37:45|19/01/2024|22/01/2024|16:08:32|APROBADO|535101 Ver...|
2025|01805-2022-TCE|535102|Debora Dafne Basurco Chavez|Remisión a sala - Descargos|Entidad:00000,20137289921POSTOR:10466456859|Entidad:OCI - MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA,MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA POSTOR:GARCIA OVIEDO PAUL GABRIEL|19/01/2024|12:44:34|19/01/2024|22/01/2024|16:08:52|APROBADO|535102 Ver...|
2026|02262-2022-TCE|535103|Debora Dafne Basurco Chavez|Remisión a sala - Descargos|Entidad:20100030595POSTOR:20454667957|Entidad:BANCO DE LA NACION POSTOR:CORPORACION BYV CONSTRUCCIONES S.A.C.|19/01/2024|12:49:41|19/01/2024|22/01/2024|16:09:07|APROBADO|535103 Ver...|
2027|05146-2022-TCE|535104|Debora Dafne Basurco Chavez|Remisión a sala - Descargos|Entidad:20146736875POSTOR:20524500125|Entidad:MUNICIPALIDAD DISTRITAL DE TAMBOGRANDE POSTOR:JF PROYECTOS Y CONSTRUCCIONES S.A.C.|19/01/2024|12:56:28|19/01/2024|22/01/2024|16:09:22|APROBADO|535104 Ver...|
2028|05174-2022-TCE|535105|Debora Dafne Basurco Chavez|Remisión a sala - Descargos|Entidad:20140080471POSTOR:20574611360|Entidad:MUNICIPALIDAD DISTRITAL DE ASIA POSTOR:GRUPO LESKA IMPORT E.I.R.L.|19/01/2024|13:04:08|19/01/2024|22/01/2024|16:09:37|APROBADO|535105 Ver...|
2029|04393-2021-TCE|535106|Ania Melgar Salazar|Remisión a sala - Descargos|Entidad:20130534211POSTOR:20302891452|Entidad:MUNICIPALIDAD DISTRITAL DE SAN ISIDRO - LIMA POSTOR:INNOVA AMBIENTAL S.A.|19/01/2024|13:07:09|19/01/2024|22/01/2024|16:39:34|APROBADO|535106 Ver...|
2030|04413-2021-TCE|535107|Ania Melgar Salazar|Remisión a sala - Descargos|Entidad:20353982878POSTOR:20572244441|Entidad:INPE-DIRECCION REGIONAL NORTE CHICLAYO POSTOR:EDINSA INTEGRAL AMAZONICO E.I.R.L|19/01/2024|13:07:45|19/01/2024|22/01/2024|16:49:08|APROBADO|535107 Ver...|
2031|04423-2021-TCE|535108|Ania Melgar Salazar|Remisión a sala - Descargos|Entidad:20209237769POSTOR:10266284280|Entidad:MUNICIPALIDAD DISTRITAL DE PION POSTOR:VELASQUEZ DAVILA JULIO ANAXIMANDRO|19/01/2024|13:08:37|19/01/2024|22/01/2024|16:40:24|APROBADO|535108 Ver...|
2032|05288-2019-TCE|535109|Debora Dafne Basurco Chavez|Remisión a sala - Apercibimiento|Entidad:20133696823POSTOR:20602816240|Entidad:MUNICIPALIDAD PROVINCIAL DE HUANCAYO POSTOR:TICEL COLOR E.I.R.L.|19/01/2024|13:09:24|19/01/2024|22/01/2024|16:09:54|APROBADO|535109 Ver...|
2033|07796-2022-TCE|535110|Ania Melgar Salazar|Remisión a sala - Descargos|Entidad:20452393493POSTOR:20494503540,20601370264|Entidad:GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL POSTOR:INVERSIONES CARLIN S.A.C.,CORPORACION FLOHUA S.A.C.|19/01/2024|13:09:46|19/01/2024|22/01/2024|16:41:28|APROBADO|535110 Ver...|
2034|08249-2022-TCE|535111|Ania Melgar Salazar|Remisión a sala - Apercibimiento|Entidad:20491321661POSTOR:10410955526|Entidad:GOBIERNO REGIONAL DE LIMA-UNIDAD EJECUTORA LIMA SUR POSTOR:CHUQUIRUNA ACHACA CARLOS ENRIQUE|19/01/2024|13:10:24|19/01/2024|22/01/2024|16:41:04|APROBADO|535111 Ver...|
2035|08279-2022-TCE|535112|Ania Melgar Salazar|Remisión a sala - Apercibimiento|Entidad:20197990938POSTOR:10053897229|Entidad:MUNICIPALIDAD DISTRITAL DE LAGUNAS ? ALTO AMAZONAS POSTOR:SAAVEDRA CASTERNOQUE LEVI|19/01/2024|13:10:54|19/01/2024|22/01/2024|16:40:48|APROBADO|535112 Ver...|
2036|06609-2021-TCE|535113|Debora Dafne Basurco Chavez|Remisión a sala - Descargos|Entidad:20131369124POSTOR:20492221571|Entidad:EJERCITO PERUANO POSTOR:Q-ENERGY PERU S.A.C.|19/01/2024|13:13:20|19/01/2024|22/01/2024|16:10:10|APROBADO|535113 Ver...|
2037|07645-2021-TCE|535114|Debora Dafne Basurco Chavez|Tómese conocimiento|Entidad:20561164437POSTOR:20480791305,20539206835|Entidad:UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUIA DE BAGUA POSTOR:CONSTRUCTORA DURANGO EIRL,,Q & M CONSTRUCTORES Y EJECUTORES SAC ( ahora VALLE CONTRATISTAS S.A.C.)|19/01/2024|13:16:28|19/01/2024|22/01/2024|16:10:24|APROBADO|535114 Ver...|
2038|07645-2021-TCE|535115|Debora Dafne Basurco Chavez|Tómese conocimiento|Entidad:20561164437POSTOR:20480791305,20539206835|Entidad:UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUIA DE BAGUA POSTOR:CONSTRUCTORA DURANGO EIRL,,Q & M CONSTRUCTORES Y EJECUTORES SAC ( ahora VALLE CONTRATISTAS S.A.C.)|19/01/2024|13:20:56|19/01/2024|22/01/2024|16:10:35|APROBADO|535115 Ver...|
2039|00024-2024-TCE|535116|Lita Tumi Carpio|Remisión a sala por vencto.de plazo, conocimiento al OCI|Entidad:20105685875Impugnate:0000000,20554345493|Entidad:UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO Impugnate:CONSORCIO conformado por las empresas COMPUSOFT DATA S.A.C. y CLOUD INFRASTRUCTURE AND TELECOM PERÚ S.A.C.,ITSTK PERU S.A.C.|19/01/2024|13:51:49|19/01/2024|19/01/2024|16:33:51|APROBADO|535116 Ver...|
2040|00034-2024-TCE|535117|Lita Tumi Carpio|Acumulación a otro expediente|Entidad:20105685875Impugnate:20551755275|Entidad:UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO Impugnate:CONSORCIO conformado por las empresas COMPUSOFT DATA S.A.C. y CLOUD INFRASTRUCTURE AND TELECOM PERÚ S.A.C.|19/01/2024|13:53:52|19/01/2024|19/01/2024|16:34:00|APROBADO|535117 Ver...|
